country,indicator,Year,Value
Afghanistan,Total,2008,1
Afghanistan,Total,2012,1
Afghanistan,Gold,2008,0
Afghanistan,Gold,2012,0
Afghanistan,Silver,2008,0
Afghanistan,Silver,2012,0
Afghanistan,Bronze,2008,1
Afghanistan,Bronze,2012,1
Algeria,Total,1984,2
Algeria,Total,1992,2
Algeria,Total,1996,3
Algeria,Total,2000,5
Algeria,Total,2008,2
Algeria,Total,2012,1
Algeria,Gold,1984,0
Algeria,Gold,1992,1
Algeria,Gold,1996,2
Algeria,Gold,2000,1
Algeria,Gold,2008,0
Algeria,Gold,2012,1
Algeria,Silver,1984,0
Algeria,Silver,1992,0
Algeria,Silver,1996,0
Algeria,Silver,2000,1
Algeria,Silver,2008,1
Algeria,Silver,2012,0
Algeria,Bronze,1984,2
Algeria,Bronze,1992,1
Algeria,Bronze,1996,1
Algeria,Bronze,2000,3
Algeria,Bronze,2008,1
Algeria,Bronze,2012,0
Argentina,Total,1924,6
Argentina,Total,1928,7
Argentina,Total,1932,4
Argentina,Total,1936,7
Argentina,Total,1948,7
Argentina,Total,1952,5
Argentina,Total,1956,2
Argentina,Total,1960,2
Argentina,Total,1964,1
Argentina,Total,1968,2
Argentina,Total,1972,1
Argentina,Total,1988,2
Argentina,Total,1992,1
Argentina,Total,1996,3
Argentina,Total,2000,4
Argentina,Total,2004,6
Argentina,Total,2008,6
Argentina,Total,2012,4
Argentina,Total,2016,1
Argentina,Gold,1924,1
Argentina,Gold,1928,3
Argentina,Gold,1932,3
Argentina,Gold,1936,2
Argentina,Gold,1948,3
Argentina,Gold,1952,1
Argentina,Gold,1956,0
Argentina,Gold,1960,0
Argentina,Gold,1964,0
Argentina,Gold,1968,0
Argentina,Gold,1972,0
Argentina,Gold,1988,0
Argentina,Gold,1992,0
Argentina,Gold,1996,0
Argentina,Gold,2000,0
Argentina,Gold,2004,2
Argentina,Gold,2008,2
Argentina,Gold,2012,1
Argentina,Gold,2016,1
Argentina,Silver,1924,3
Argentina,Silver,1928,3
Argentina,Silver,1932,1
Argentina,Silver,1936,2
Argentina,Silver,1948,3
Argentina,Silver,1952,2
Argentina,Silver,1956,1
Argentina,Silver,1960,1
Argentina,Silver,1964,1
Argentina,Silver,1968,0
Argentina,Silver,1972,1
Argentina,Silver,1988,1
Argentina,Silver,1992,0
Argentina,Silver,1996,2
Argentina,Silver,2000,2
Argentina,Silver,2004,0
Argentina,Silver,2008,0
Argentina,Silver,2012,1
Argentina,Silver,2016,0
Argentina,Bronze,1924,2
Argentina,Bronze,1928,1
Argentina,Bronze,1932,0
Argentina,Bronze,1936,3
Argentina,Bronze,1948,1
Argentina,Bronze,1952,2
Argentina,Bronze,1956,1
Argentina,Bronze,1960,1
Argentina,Bronze,1964,0
Argentina,Bronze,1968,2
Argentina,Bronze,1972,0
Argentina,Bronze,1988,1
Argentina,Bronze,1992,1
Argentina,Bronze,1996,1
Argentina,Bronze,2000,2
Argentina,Bronze,2004,4
Argentina,Bronze,2008,4
Argentina,Bronze,2012,2
Argentina,Bronze,2016,0
Jamaica,Total,1948,3
Jamaica,Total,1952,5
Jamaica,Total,1968,1
Jamaica,Total,1972,1
Jamaica,Total,1976,2
Jamaica,Total,1980,3
Jamaica,Total,1984,3
Jamaica,Total,1988,2
Jamaica,Total,1992,4
Jamaica,Total,1996,6
Jamaica,Total,2000,9
Jamaica,Total,2004,5
Jamaica,Total,2008,11
Jamaica,Total,2012,12
Jamaica,Gold,1948,1
Jamaica,Gold,1952,2
Jamaica,Gold,1968,0
Jamaica,Gold,1972,0
Jamaica,Gold,1976,1
Jamaica,Gold,1980,0
Jamaica,Gold,1984,0
Jamaica,Gold,1988,0
Jamaica,Gold,1992,0
Jamaica,Gold,1996,1
Jamaica,Gold,2000,0
Jamaica,Gold,2004,2
Jamaica,Gold,2008,6
Jamaica,Gold,2012,4
Jamaica,Silver,1948,2
Jamaica,Silver,1952,3
Jamaica,Silver,1968,1
Jamaica,Silver,1972,0
Jamaica,Silver,1976,1
Jamaica,Silver,1980,0
Jamaica,Silver,1984,1
Jamaica,Silver,1988,2
Jamaica,Silver,1992,3
Jamaica,Silver,1996,3
Jamaica,Silver,2000,6
Jamaica,Silver,2004,1
Jamaica,Silver,2008,3
Jamaica,Silver,2012,4
Jamaica,Bronze,1948,0
Jamaica,Bronze,1952,0
Jamaica,Bronze,1968,0
Jamaica,Bronze,1972,1
Jamaica,Bronze,1976,0
Jamaica,Bronze,1980,3
Jamaica,Bronze,1984,2
Jamaica,Bronze,1988,0
Jamaica,Bronze,1992,1
Jamaica,Bronze,1996,2
Jamaica,Bronze,2000,3
Jamaica,Bronze,2004,2
Jamaica,Bronze,2008,2
Jamaica,Bronze,2012,4
United States,Total,1896,20
United States,Total,1900,47
United States,Total,1904,239
United States,Total,1908,47
United States,Total,1912,63
United States,Total,1920,95
United States,Total,1924,99
United States,Total,1928,56
United States,Total,1932,103
United States,Total,1936,56
United States,Total,1948,84
United States,Total,1952,76
United States,Total,1956,74
United States,Total,1960,71
United States,Total,1964,90
United States,Total,1968,107
United States,Total,1972,94
United States,Total,1976,94
United States,Total,1984,174
United States,Total,1988,94
United States,Total,1992,108
United States,Total,1996,101
United States,Total,2000,93
United States,Total,2004,101
United States,Total,2008,110
United States,Total,2012,103
United States,Total,2016,26
United States,Gold,1896,11
United States,Gold,1900,19
United States,Gold,1904,78
United States,Gold,1908,23
United States,Gold,1912,25
United States,Gold,1920,41
United States,Gold,1924,45
United States,Gold,1928,22
United States,Gold,1932,41
United States,Gold,1936,24
United States,Gold,1948,38
United States,Gold,1952,40
United States,Gold,1956,32
United States,Gold,1960,34
United States,Gold,1964,36
United States,Gold,1968,45
United States,Gold,1972,33
United States,Gold,1976,34
United States,Gold,1984,83
United States,Gold,1988,36
United States,Gold,1992,37
United States,Gold,1996,44
United States,Gold,2000,37
United States,Gold,2004,36
United States,Gold,2008,36
United States,Gold,2012,46
United States,Gold,2016,9
United States,Silver,1896,7
United States,Silver,1900,14
United States,Silver,1904,82
United States,Silver,1908,12
United States,Silver,1912,19
United States,Silver,1920,27
United States,Silver,1924,27
United States,Silver,1928,18
United States,Silver,1932,32
United States,Silver,1936,20
United States,Silver,1948,27
United States,Silver,1952,19
United States,Silver,1956,25
United States,Silver,1960,21
United States,Silver,1964,26
United States,Silver,1968,28
United States,Silver,1972,31
United States,Silver,1976,35
United States,Silver,1984,61
United States,Silver,1988,31
United States,Silver,1992,34
United States,Silver,1996,32
United States,Silver,2000,24
United States,Silver,2004,39
United States,Silver,2008,38
United States,Silver,2012,28
United States,Silver,2016,8
United States,Bronze,1896,2
United States,Bronze,1900,14
United States,Bronze,1904,79
United States,Bronze,1908,12
United States,Bronze,1912,19
United States,Bronze,1920,27
United States,Bronze,1924,27
United States,Bronze,1928,16
United States,Bronze,1932,30
United States,Bronze,1936,12
United States,Bronze,1948,19
United States,Bronze,1952,17
United States,Bronze,1956,17
United States,Bronze,1960,16
United States,Bronze,1964,28
United States,Bronze,1968,34
United States,Bronze,1972,30
United States,Bronze,1976,25
United States,Bronze,1984,30
United States,Bronze,1988,27
United States,Bronze,1992,37
United States,Bronze,1996,25
United States,Bronze,2000,32
United States,Bronze,2004,26
United States,Bronze,2008,36
United States,Bronze,2012,29
United States,Bronze,2016,9
World,Total,1896,122
World,Total,1900,268
World,Total,1904,280
World,Total,1908,324
World,Total,1920,439
World,Total,1924,378
World,Total,1928,327
World,Total,1932,346
World,Total,1936,388
World,Total,1948,411
World,Total,1952,459
World,Total,1956,469
World,Total,1960,461
World,Total,1964,504
World,Total,1968,527
World,Total,1972,600
World,Total,1976,613
World,Total,1980,631
World,Total,1984,688
World,Total,1988,739
World,Total,1992,815
World,Total,1996,842
World,Total,2000,927
World,Total,2004,927
World,Total,2008,957
World,Total,2012,961
World,Total,2016,174
World,Gold,1896,43
World,Gold,1900,90
World,Gold,1904,96
World,Gold,1908,110
World,Gold,1920,156
World,Gold,1924,126
World,Gold,1928,110
World,Gold,1932,116
World,Gold,1936,130
World,Gold,1948,138
World,Gold,1952,149
World,Gold,1956,153
World,Gold,1960,152
World,Gold,1964,163
World,Gold,1968,174
World,Gold,1972,195
World,Gold,1976,198
World,Gold,1980,204
World,Gold,1984,226
World,Gold,1988,241
World,Gold,1992,260
World,Gold,1996,271
World,Gold,2000,300
World,Gold,2004,301
World,Gold,2008,302
World,Gold,2012,300
World,Gold,2016,55
World,Silver,1896,43
World,Silver,1900,90
World,Silver,1904,92
World,Silver,1908,107
World,Silver,1920,147
World,Silver,1924,127
World,Silver,1928,108
World,Silver,1932,116
World,Silver,1936,128
World,Silver,1948,135
World,Silver,1952,152
World,Silver,1956,153
World,Silver,1960,149
World,Silver,1964,167
World,Silver,1968,170
World,Silver,1972,195
World,Silver,1976,199
World,Silver,1980,204
World,Silver,1984,219
World,Silver,1988,234
World,Silver,1992,257
World,Silver,1996,273
World,Silver,2000,300
World,Silver,2004,300
World,Silver,2008,302
World,Silver,2012,305
World,Silver,2016,55
World,Bronze,1896,36
World,Bronze,1900,88
World,Bronze,1904,92
World,Bronze,1908,107
World,Bronze,1920,136
World,Bronze,1924,125
World,Bronze,1928,109
World,Bronze,1932,114
World,Bronze,1936,130
World,Bronze,1948,138
World,Bronze,1952,158
World,Bronze,1956,163
World,Bronze,1960,160
World,Bronze,1964,174
World,Bronze,1968,183
World,Bronze,1972,210
World,Bronze,1976,216
World,Bronze,1980,223
World,Bronze,1984,243
World,Bronze,1988,264
World,Bronze,1992,298
World,Bronze,1996,298
World,Bronze,2000,327
World,Bronze,2004,326
World,Bronze,2008,353
World,Bronze,2012,356
World,Bronze,2016,64
Armenia,Total,1996,2
Armenia,Total,2000,1
Armenia,Total,2008,6
Armenia,Total,2012,3
Armenia,Gold,1996,1
Armenia,Gold,2000,0
Armenia,Gold,2008,0
Armenia,Gold,2012,0
Armenia,Silver,1996,1
Armenia,Silver,2000,0
Armenia,Silver,2008,0
Armenia,Silver,2012,1
Armenia,Bronze,1996,0
Armenia,Bronze,2000,1
Armenia,Bronze,2008,6
Armenia,Bronze,2012,2
Australasia,Total,1908,5
Australasia,Total,1912,7
Australasia,Gold,1908,1
Australasia,Gold,1912,2
Australasia,Silver,1908,2
Australasia,Silver,1912,2
Australasia,Bronze,1908,2
Australasia,Bronze,1912,3
Australia,Total,1896,2
Australia,Total,1900,5
Australia,Total,1920,3
Australia,Total,1924,6
Australia,Total,1928,4
Australia,Total,1932,5
Australia,Total,1936,1
Australia,Total,1948,13
Australia,Total,1952,11
Australia,Total,1956,35
Australia,Total,1960,22
Australia,Total,1964,18
Australia,Total,1968,17
Australia,Total,1972,17
Australia,Total,1976,5
Australia,Total,1980,9
Australia,Total,1984,24
Australia,Total,1988,14
Australia,Total,1992,27
Australia,Total,1996,41
Australia,Total,2000,58
Australia,Total,2004,50
Australia,Total,2008,46
Australia,Total,2012,37
Australia,Total,2016,9
Australia,Gold,1896,2
Australia,Gold,1900,2
Australia,Gold,1920,0
Australia,Gold,1924,3
Australia,Gold,1928,1
Australia,Gold,1932,3
Australia,Gold,1936,0
Australia,Gold,1948,2
Australia,Gold,1952,6
Australia,Gold,1956,13
Australia,Gold,1960,8
Australia,Gold,1964,6
Australia,Gold,1968,5
Australia,Gold,1972,8
Australia,Gold,1976,0
Australia,Gold,1980,2
Australia,Gold,1984,4
Australia,Gold,1988,3
Australia,Gold,1992,7
Australia,Gold,1996,9
Australia,Gold,2000,16
Australia,Gold,2004,17
Australia,Gold,2008,14
Australia,Gold,2012,8
Australia,Gold,2016,4
Australia,Silver,1896,0
Australia,Silver,1900,0
Australia,Silver,1920,2
Australia,Silver,1924,1
